Wavelength,musp,muaoxy,muadeoxy,muawater,muafat,muamel
418,75.15995486508558,2760.531784047187,2065.258182944055,0.000436,0.0001,1233.1763744256687
419,74.58622204756156,2666.393537687105,2123.840231589066,0.000428,0.0001,1223.4029337711916
420,74.01895917853159,2572.2552913270233,2182.422280234078,0.00042,0.0001,1213.7299733319567
421,73.45807597152972,2442.453750270801,2242.182395670853,0.00041200000000000004,0.0001,1204.1562245143327
422,72.90348362109629,2312.6522092145783,2301.9425111076284,0.000404,0.0001,1194.680437701053
423,72.3550947749745,2163.66959884881,2385.7994472850396,0.000396,0.0001,1185.3013819232876
424,71.81282350689395,2014.6869884830414,2469.6563834624512,0.000388,0.0001,1176.017844539141
425,71.2765852899271,1880.269567542724,2524.918425694308,0.00038,0.0001,1166.828630918432
426,70.74629697040547,1745.8521466024065,2580.180467926165,0.00037600000000000003,0.0001,1157.7325641336238
427,70.22187674238253,1630.937085914843,2631.051533934173,0.00037200000000000004,0.0001,1148.7284846567632
428,69.7032441226305,1516.0220252272798,2681.9225999421815,0.000368,0.0001,1139.8152500623048
429,69.19031992615862,1416.8502207569318,2756.247904804408,0.000364,0.0001,1130.991734735689
430,68.68302624224107,1317.6784162865836,2830.573209666634,0.00036,0.0001,1122.2568295875506
431,68.18128641094239,1232.1293478082744,2893.653331516564,0.00035600000000000003,0.0001,1113.609441773434
432,67.68502500012937,1146.5802793299654,2956.733453366494,0.000352,0.0001,1105.048494418901
433,67.1941677829578,1015.9540915195078,2956.733453366494,0.000348,0.0001,1096.5729263499131
434,66.70864171582363,885.3279037090501,2956.733453366494,0.000344,0.0001,1088.1816918283696
435,66.22837491676742,798.2794774957683,2943.025039789599,0.00034,0.0001,1079.8737602927035
436,65.75329664432226,711.2310512824864,2929.3166262127043,0.000336,0.0001,1071.6481161034158
437,65.28333727679463,674.6038837567207,2807.5473587366937,0.000332,0.0001,1063.5037582934472
438,64.81842829196863,637.9767162309549,2685.778091260683,0.000328,0.0001,1055.439700323288
439,64.35850224722378,593.6385660681858,2449.415054040317,0.00032399999999999996,0.0001,1047.454969840719
440,63.903492760057375,549.3004159054168,2213.0520168199514,0.00031999999999999997,0.0001,1039.548608445091
441,63.45333448900165,523.0616555433917,2079.073693502019,0.000316,0.0001,1031.7196714560434
442,63.00796311492765,496.82289518136645,1945.0953701840865,0.000312,0.0001,1023.9672276865714
443,62.567315322726515,466.47161074627286,1729.5198569893091,0.000308,0.0001,1016.2903592203493
444,62.13132878335992,436.1203263111792,1513.9443437945315,0.000304,0.0001,1008.6881611932187
445,61.699942136271474,422.41191273428444,1392.121527827986,0.0003,0.0001,1001.159741578758
446,61.27309497215098,408.7034991573897,1270.2987118614406,0.000296,0.0001,993.7042209778468
447,60.8507278160436,383.85699954926787,1099.2005749048226,0.000292,0.0001,986.3207324121393
448,60.43278211079652,359.01049994114607,928.1024379482047,0.00028799999999999995,0.0001,979.0084211213692
449,60.01920020083527,347.69034904210093,740.6077531898477,0.00028399999999999996,0.0001,971.7664443644071
450,59.60992531626276,336.3701981430558,553.1130684314908,0.00028,0.0001,964.5939712239872
451,59.204901557273686,325.78901641339013,444.2704065705675,0.00027867999999999995,0.0001,957.4901824150344
452,58.80407387887743,315.20783468372446,335.4277447096443,0.00027736,0.0001,950.4542700965135
453,58.407388075922796,300.98535559769607,264.55631748690894,0.00027603999999999997,0.0001,943.4854376867294
454,58.01479076841764,286.76287651166774,193.6848902641736,0.00027472,0.0001,936.5828996820078
455,57.626229387137386,275.9032426312214,179.03616519348867,0.0002734,0.0001,929.745881478686
456,57.2416521595157,265.0436087507751,164.38744012280375,0.00027207999999999996,0.0001,922.9736191983491
457,56.86100809581158,259.68875969730055,151.50260233033336,0.00027076,0.0001,916.2653595162408
458,56.484246975546405,254.33391064382604,138.61776453786297,0.00026943999999999997,0.0001,909.62035949279
459,56.11131933420555,246.25879827118646,131.93062903988397,0.00026812,0.0001,903.0378864081848
460,55.7421764501985,238.18368589854688,125.24349354190497,0.0002668,0.0001,896.5172175999362
461,55.3767703320721,229.72302439405715,118.55635804392598,0.00026547999999999996,0.0001,890.0576403033679
462,55.015053705971255,221.2623628895674,111.869222545947,0.00026416,0.0001,883.6584514949768
463,54.65698000334216,217.21195506551928,107.50394959755457,0.00026283999999999997,0.0001,877.3189577386031
464,54.30250334887229,213.16154724147114,103.13867664916212,0.00026152,0.0001,871.038475034355
465,53.95157854866268,205.84146858537144,100.14424505845918,0.0002602,0.0001,864.8163286702343
466,53.60416107862704,198.52138992927175,97.14981346775623,0.00025887999999999996,0.0001,858.6518530764066
467,53.260207073113264,192.62463015158562,94.15966575629605,0.00025756,0.0001,852.5443916820641
468,52.919673313742294,186.7278703738995,91.16951804483588,0.00025623999999999997,0.0001,846.4932967748315
469,52.58251721845993,182.27906178027285,88.84230064619584,0.00025492,0.0001,840.4979293626606
470,52.248696830796945,177.8302531866462,86.51508324755581,0.0002536,0.0001,834.5576590381672
471,51.91817080933325,173.57529012875534,84.2489111281254,0.00025227999999999996,0.0001,828.6718638453639
472,51.59089841736168,169.32032707086452,81.98273900869498,0.00025096,0.0001,822.8399301487343
473,51.2668395127472,165.28705476378747,81.2823247525005,0.00024964,0.0001,817.0612525046116
474,50.945954537977556,161.25378245671044,80.58191049630604,0.00024832,0.0001,811.3352335348094
475,50.62820451040125,157.87273076434664,79.897560787272,0.000247,0.0001,805.661283802464
476,50.31355101264889,154.49167907198284,79.21321107823795,0.00024712,0.0001,800.0388216900449
477,50.00195618323424,151.45869256809488,78.85015231241238,0.00024723999999999997,0.0001,794.4672732794884
478,49.69338270733114,148.42570606420688,78.48709354658682,0.00024735999999999996,0.0001,788.9460722344177
479,49.38779380772253,145.51052623949536,78.20007363732057,0.00024748,0.0001,783.4746596844037
480,49.08515323591821,142.59534641478385,77.91305372805434,0.0002476,0.0001,778.0524841112314
481,48.78542526343786,140.11176742378234,78.79981673130972,0.00024772,0.0001,772.6790012371297
482,48.488574673255556,137.62818843278086,79.6865797345651,0.00024784,0.0001,767.3536739149292
483,48.1945667514029,136.2327147694454,80.57334273782048,0.00024796,0.0001,762.0759720201096
484,47.903367278727316,134.83724110610993,81.46010574107586,0.00024807999999999997,0.0001,756.8453723447
485,47.61494252280215,133.46961265785254,82.34686874433126,0.0002482,0.0001,751.6613584929978
